LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube
"Friends network,Kaggle,Official documentation,Personal Projects,Textbook",,,,,,Very useful,Somewhat useful,,,Somewhat useful,,Very useful,,,Very useful,,,
"Arxiv,Conferences,Online courses,Personal Projects,Textbook",Very useful,,,,Very useful,,,,,,Very useful,Very useful,,,Very useful,,,
"Company internal community,Online courses,Textbook,YouTube Videos",,,,Somewhat useful,,,,,,,Somewhat useful,,,,Very useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,,,,Very useful,,,,Somewhat useful
"Blogs,College/University,Kaggle,Official documentation,Online courses,Textbook",,Very useful,Somewhat useful,,,,Very useful,,,Somewhat useful,Very useful,,,,Somewhat useful,,,
"Conferences,Friends network,Textbook,Tutoring/mentoring",,,,,Somewhat useful,Somewhat useful,,,,,,,,,Somewhat useful,,Somewhat useful,
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Other",,,,,,,Very useful,,,,Very useful,,,,,,,
"Blogs,Kaggle,Online courses,Personal Projects,Textbook",,Very useful,,,,,Very useful,,,,Very useful,Very useful,,,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Online courses,Stack Overflow Q&A,Textbook",Somewhat useful,,,,,,,,,,Very useful,,,Very useful,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Company internal community,Conferences,Friends network,Newsletters,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Somewhat useful,Somewhat useful,,Very useful,Very useful,Somewhat useful,,Not Useful,,,,Very useful,Not Useful,Very useful,Somewhat useful,,Somewhat useful,Not Useful
"Arxiv,Blogs,Kaggle,Newsletters,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",Very useful,Somewhat useful,,,,,Very useful,Very useful,,Very useful,Somewhat useful,,,Very useful,,,,Somewhat useful
"Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook",,,,,,,Very useful,,,,Very useful,Somewhat useful,Not Useful,Somewhat useful,Somewhat useful,,,
Online courses,,,,,,,,,,,,,,,,,,
"Online courses,YouTube Videos",,,,,,,,,,,Very useful,,,,,,,Somewhat useful
"Blogs,Kaggle,Newsletters,Textbook",,Very useful,,,,,Very useful,Somewhat useful,,,,,,,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Online courses,Podcasts,Stack Overflow Q&A",Somewhat useful,Very useful,,,,,,,,,Somewhat useful,,Not Useful,Very useful,,,,
College/University,,,Very useful,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Kaggle,Newsletters,Official documentation,Online courses,Podcasts,Tutoring/mentoring,YouTube Videos",,Very useful,Very useful,,,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,Somewhat useful,,,,Very useful,Very useful
"College/University,Kaggle,Stack Overflow Q&A",,,Very useful,,,,Somewhat useful,,,,,,,Somewhat useful,,,,
"College/University,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,,Very useful,,,,,,,Somewhat useful,Very useful,Somewhat useful,,Very useful,Very useful,,,Somewhat useful
"Blogs,College/University,Kaggle,YouTube Videos",,Somewhat useful,Very useful,,,,Very useful,,,,,,,,,,,Very useful
"Arxiv,Kaggle,Personal Projects,Stack Overflow Q&A",Somewhat useful,,,,,,Somewhat useful,,,,,Very useful,,Somewhat useful,,,,
"College/University,Conferences",,,Very useful,,Somewhat useful,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Company internal community,Tutoring/mentoring,YouTube Videos",,,,Very useful,,,,,,,,,,,,,Very useful,Very useful
"Arxiv,Blogs,College/University,Conferences,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Very useful,Very useful,,Somewhat useful,,,,,,Very useful,Very useful,,Very useful,Somewhat useful,,,Somewhat useful
"Kaggle,Personal Projects,Stack Overflow Q&A",,,,,,,Very useful,,,,,Very useful,,Somewhat useful,,,,
"Kaggle,Online courses,Personal Projects,Textbook",,,,,,,Somewhat useful,,,,Somewhat useful,Very useful,,,Very useful,,,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"College/University,Kaggle,Official documentation,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Very useful,,,Somewhat useful,,Very useful,,Somewhat useful,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Conferences,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,Somewhat useful,,,,,,Very useful,,,Very useful,,,,Somewhat useful
"Online courses,Other",,,,,,,,,,,Very useful,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Conferences,Kaggle,Tutoring/mentoring,YouTube Videos",,Very useful,Very useful,,Very useful,,Very useful,,,,,,,,,,Very useful,Very useful
"Arxiv,Stack Overflow Q&A",,,,,,,,,,,,,,,,,,
"Blogs,College/University,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Not Useful,,,,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,,Very useful,Very useful,,,Very useful
"Arxiv,College/University,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook",Somewhat useful,,Very useful,,,,Very useful,,,,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Personal Projects,Textbook",,,,,,,Somewhat useful,,,,Somewhat useful,Very useful,,,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Conferences,Kaggle,Official documentation,Online courses,Textbook,Tutoring/mentoring,YouTube Videos",,Very useful,,,Very useful,,Very useful,,,Very useful,Very useful,,,,Very useful,,Very useful,Very useful
,,,,,,,,,,,,,,,,,,
"College/University,Conferences,Friends network,Kaggle,Personal Projects,Textbook,Tutoring/mentoring,YouTube Videos",,,Very useful,,Somewhat useful,Somewhat useful,Very useful,,,,,Very useful,,,Somewhat useful,,Somewhat useful,Somewhat useful
"Blogs,Stack Overflow Q&A,Textbook",,Very useful,,,,,,,,,,,,Very useful,Very useful,,,
"Blogs,College/University,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,Somewhat useful,Very useful,,,,Somewhat useful,Somewhat useful,,Somewhat useful,Very useful,Very useful,,Very useful,,,Very useful,Very useful
"Official documentation,Online courses,Stack Overflow Q&A,Textbook",,,,,,,,,,Somewhat useful,Very useful,,,Very useful,Somewhat useful,,,
"Arxiv,College/University,Company internal community,Conferences,Kaggle,Official documentation,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos,Other",Somewhat useful,,Somewhat useful,Very useful,Very useful,,Somewhat useful,,,Very useful,,Very useful,Very useful,Very useful,,,,Somewhat useful
"Blogs,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Somewhat useful,,,,Somewhat useful,,,Very useful,,,,Very useful
"Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,,,,Somewhat useful,,,,Somewhat useful
Stack Overflow Q&A,,,,,,,,,,,,,,Very useful,,,,
"Blogs,College/University,Friends network,Kaggle,Personal Projects",,Somewhat useful,Very useful,,,Somewhat useful,Very useful,,,,,Very useful,,,,,,
"Blogs,Kaggle,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,,,,Very useful,Somewhat useful,,,Very useful
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Conferences,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Textbook,YouTube Videos",Very useful,Very useful,,,Somewhat useful,,Not Useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,,,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Company internal community,Conferences,Friends network,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,,,Very useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"College/University,Kaggle,Official documentation,YouTube Videos",,,Somewhat useful,,,,Very useful,,,Very useful,,,,,,,,Somewhat useful
"Blogs,College/University,Company internal community,Conferences,Friends network,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring",,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,,,,,Very useful,Very useful,,Very useful,,,Very useful,
"Friends network,Online courses,Personal Projects",,,,,,Somewhat useful,,,,,Very useful,Very useful,,,,,,
"Kaggle,Online courses,Podcasts,Textbook",,,,,,,Somewhat useful,,,,Very useful,,Somewhat useful,,Very useful,,,
"Kaggle,Online courses,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Somewhat useful,,,,Very useful,,Somewhat useful,Very useful,Very useful,,,Somewhat useful
"Blogs,College/University,Conferences,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Somewhat useful,,Not Useful,,,,,Somewhat useful,Very useful,Very useful,,Very useful,Very useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Stack Overflow Q&A,Textbook",,,,,,,Very useful,,,,Very useful,,,Somewhat useful,Somewhat useful,,,
"College/University,Kaggle,Online courses,Personal Projects,YouTube Videos",,,Very useful,,,,Very useful,,,,Very useful,Somewhat useful,,,,,,Somewhat useful
"Blogs,College/University,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,Somewhat useful,Somewhat useful,,,,,,,,Very useful,Somewhat useful,Not Useful,Not Useful,,,Somewhat useful,Somewhat useful
"Blogs,College/University,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,Very useful,,,,,,,,,,,Somewhat useful,,,,Somewhat useful
"College/University,Kaggle,Textbook",,,Somewhat useful,,,,Very useful,,,,,,,,Very useful,,,
,,,,,,,,,,,,,,,,,,
"College/University,Kaggle,Personal Projects,Podcasts,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,,Somewhat useful,Somewhat useful,,,,,Very useful
"Kaggle,Official documentation,Stack Overflow Q&A",,,,,,,Somewhat useful,,,Somewhat useful,,,,Somewhat useful,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Conferences,Newsletters,Online courses,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Somewhat useful,Very useful,,Somewhat useful,,,Somewhat useful,,,Somewhat useful,,Somewhat useful,Very useful,Very useful,,Very useful,Very useful
"Blogs,College/University,Friends network,Official documentation,Stack Overflow Q&A,YouTube Videos",,Very useful,Very useful,,,Very useful,,,,Somewhat useful,,,,Very useful,,,,Somewhat useful
"Blogs,Conferences,Online courses,Personal Projects",,Very useful,,,Somewhat useful,,,,,,Very useful,Very useful,,,,,,
"Kaggle,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,,,,Somewhat useful,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,College/University,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Trade book",Very useful,Very useful,Somewhat useful,,,,Very useful,,,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Kaggle,Stack Overflow Q&A,Other",Very useful,Very useful,,,,,Somewhat useful,,,,,,,Somewhat useful,,,,
"Arxiv,Blogs,College/University,Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A",Somewhat useful,Somewhat useful,Somewhat useful,,,,Very useful,,,,,Very useful,Somewhat useful,Very useful,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Friends network,Kaggle,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,Very useful,,,,Very useful,Somewhat useful,,,,,,,Very useful,,,Very useful,Somewhat useful
"Arxiv,Blogs,Kaggle,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Somewhat useful,,,,,Somewhat useful,,,,,,Very useful,Very useful,Somewhat useful,,,Very useful
"Kaggle,Personal Projects",,,,,,,Very useful,,,,,Somewhat useful,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Somewhat useful,,,,,,,,,,,Somewhat useful,Somewhat useful,,,Somewhat useful
"College/University,Conferences,Friends network,Kaggle,Non-Kaggle online communities,Official documentation,Personal Projects,Trade book,Tutoring/mentoring,YouTube Videos",,,Very useful,,Very useful,Very useful,Very useful,,Very useful,Very useful,,Very useful,,,,Very useful,Very useful,Somewhat useful
"Blogs,Friends network,Online courses",,Somewhat useful,,,,Somewhat useful,,,,,Somewhat useful,,,,,,,
"Arxiv,Friends network,Kaggle,Personal Projects,Stack Overflow Q&A",Somewhat useful,,,,,Very useful,Somewhat useful,,,,,Very useful,,Somewhat useful,,,,
College/University,,,Very useful,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Official documentation,Online courses,Textbook",,Very useful,,,,,Very useful,,,Very useful,Very useful,,,,Very useful,,,
"Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects",,,,,,,Somewhat useful,,Somewhat useful,Very useful,Somewhat useful,Very useful,,,,,,
"Arxiv,Blogs,Company internal community,Conferences,Kaggle,Stack Overflow Q&A",Very useful,Somewhat useful,,Very useful,Somewhat useful,,Very useful,,,,,,,Very useful,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Kaggle,Personal Projects,YouTube Videos",,Somewhat useful,Somewhat useful,,,,Very useful,,,,,Very useful,,,,,,Somewhat useful
"College/University,Online courses,Personal Projects,Textbook",,,Somewhat useful,,,,,,,,Very useful,Very useful,,,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Company internal community,Conferences,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Other",Very useful,,,Very useful,Very useful,,Somewhat useful,,,,Very useful,Very useful,,Somewhat useful,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Conferences,Kaggle,Non-Kaggle online communities,Online courses",,Somewhat useful,,,Somewhat useful,,Somewhat useful,,Very useful,,Very useful,,,,,,,
,,,,,,,,,,,,,,,,,,
"Stack Overflow Q&A,Tutoring/mentoring",,,,,,,,,,,,,,Very useful,,,Very useful,
"Arxiv,College/University,Kaggle,Personal Projects,Textbook,YouTube Videos",Somewhat useful,,Very useful,,,,Very useful,,,,,Very useful,,,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Stack Overflow Q&A",,Very useful,,,,,Very useful,,,,,,,Very useful,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Friends network,Kaggle,Personal Projects,Podcasts,YouTube Videos,Other",Very useful,Somewhat useful,,,,Somewhat useful,Very useful,,,,,Somewhat useful,Somewhat useful,,,,,Very useful
"Blogs,College/University,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,Textbook,Other",,Somewhat useful,Very useful,,,,Very useful,,,Very useful,Very useful,,,Somewhat useful,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Stack Overflow Q&A",,,,,,,Very useful,,,,,,,Very useful,,,,
"Arxiv,College/University,Personal Projects,YouTube Videos",Somewhat useful,,Somewhat useful,,,,,,,,,Somewhat useful,,,,,,Somewhat useful
"Conferences,Friends network,Kaggle,Online courses,Textbook,YouTube Videos",,,,,Very useful,Very useful,Very useful,,,,Very useful,,,,Very useful,,,Very useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Textbook,YouTube Videos",,,,,,,,,,,,,,,Very useful,,,Very useful
"Kaggle,Personal Projects",,,,,,,Very useful,,,,,,,,,,,
"Arxiv,College/University,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook",Somewhat useful,,Somewhat useful,,,,Somewhat useful,,,Somewhat useful,Somewhat useful,Very useful,Not Useful,Somewhat useful,Not Useful,,,
,,,,,,,,,,,,,,,,,,
Kaggle,,,,,,,Somewhat useful,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Conferences,,,,,Very useful,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses",,,,,,,Very useful,,,,Somewhat useful,,,,,,,
"Conferences,Textbook,Tutoring/mentoring",,,,,Very useful,,,,,,,,,,Very useful,,Somewhat useful,
"Arxiv,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",Very useful,,,,,,Very useful,,,,Very useful,,,Very useful,,,,Very useful
"Blogs,Company internal community,Friends network,Kaggle,Newsletters,Online courses,Personal Projects,Tutoring/mentoring",,Somewhat useful,,Somewhat useful,,Very useful,Very useful,Somewhat useful,,,Somewhat useful,Very useful,,,,,Very useful,
"Blogs,Kaggle,Non-Kaggle online communities,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,,,,,Very useful,Very useful,,,Very useful
"Blogs,Online courses,Personal Projects,Textbook,Tutoring/mentoring,YouTube Videos",,Somewhat useful,,,,,,,,,Very useful,Very useful,,,Very useful,,Somewhat useful,Somewhat useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Stack Overflow Q&A",,,,,,,Very useful,,,,,,,Very useful,,,,
"Arxiv,Personal Projects",Very useful,,,,,,,,,,,Very useful,,,,,,
"Arxiv,College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",Very useful,,Very useful,,,,Very useful,,,,Very useful,Very useful,,Very useful,,,,
"College/University,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,Somewhat useful,,,,,,,,Very useful,Very useful,,Very useful,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,Friends network,Kaggle,Newsletters,YouTube Videos",,Somewhat useful,,,,Very useful,Very useful,Somewhat useful,,,,,,,,,,Very useful
"College/University,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",,,Somewhat useful,,,,,,,Very useful,Very useful,,,Very useful,,,,Very useful
"College/University,Stack Overflow Q&A,Tutoring/mentoring",,,Very useful,,,,,,,,,,,Somewhat useful,,,Very useful,
"Arxiv,Blogs,Conferences,Newsletters,Online courses",Somewhat useful,Somewhat useful,,,Somewhat useful,,,Somewhat useful,,,Very useful,,,,,,,
"College/University,Online courses",,,Somewhat useful,,,,,,,,Very useful,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"College/University,Conferences,Kaggle,Non-Kaggle online communities,Personal Projects,YouTube Videos",,,Very useful,,Very useful,,Very useful,,Very useful,,,Very useful,,,,,,Very useful
"Arxiv,Blogs,College/University,Conferences,Kaggle,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,Somewhat useful,,Somewhat useful,,Very useful,,,,,,,Somewhat useful,Very useful,,,Very useful
"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A",,Somewhat useful,,,,,Very useful,,,Somewhat useful,Very useful,Very useful,,Very useful,,,,
"Blogs,College/University,Kaggle,Personal Projects,Textbook",,Somewhat useful,Somewhat useful,,,,Somewhat useful,,,,,Somewhat useful,,,Very useful,,,
"Kaggle,Newsletters,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Somewhat useful,Very useful,,,,,,Very useful,Very useful,,,Very useful
"Kaggle,Online courses,Textbook,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,,Very useful,,,Very useful
"Blogs,Conferences,Kaggle,Stack Overflow Q&A",,Very useful,,,Somewhat useful,,Very useful,,,,,,,Somewhat useful,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Kaggle,Non-Kaggle online communities,Online courses,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,,,,,Very useful,,Somewhat useful,,Very useful,,Somewhat useful,Somewhat useful,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Personal Projects",,,,,,,Somewhat useful,,,,Somewhat useful,Very useful,,,,,,
"Arxiv,Kaggle,Textbook",Very useful,,,,,,Very useful,,,,,,,,Very useful,,,
"Blogs,College/University,Conferences,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Very useful,,Somewhat useful,,Very useful,,,Somewhat useful,Very useful,Very useful,,Very useful,Very useful,,,Somewhat useful
